Fermion,n,γ_EM (rad),γ_N (rad),γ_total (rad),Mass (φⁿ)
e,0,6.283185307179586,0.0,6.283185307179586,1.0
μ,11,6.283185307179586,3.141592653589793,9.42477796076938,199.0050249987407
τ,17,6.283185307179586,4.855188646456953,11.138373953636538,3571.000280033584
