ratio,experimental,n_index,predicted,error_percent
mu/e,206.76712328767124,11.079513997886576,206.76712328767127,1.3745758502845451e-14
tau/mu,16.817089098790436,5.865183336496795,16.817089098790433,2.1125616079753236e-14
tau/e,3477.2211350293537,16.94469733438337,3477.221135029354,1.3077895630662135e-14
c/u,587.9629629629629,13.2512619717247,587.9629629629626,5.80071423965411e-14
s/d,20.0,6.225392057194222,20.0,0.0
t/c,136.03149606299212,10.209405072316093,136.0314960629921,2.0893477064490097e-14
b/s,44.75374732334047,7.899172427471388,44.75374732334047,0.0
