M_solar,S_std_JK,S_GoE_JK,delta_S_percent,T_std_K,T_GoE_K,T_ratio
1,1.4486892018756318e+54,1.3472809577443377e+54,6.999999999999991,6.170108789674934e-08,6.634525580295628e-08,1.0752688172043012
3,1.3038202816880687e+55,1.212552861969904e+55,6.999999999999994,2.0567029298916446e-08,2.2115085267652092e-08,1.075268817204301
10,1.4486892018756318e+56,1.3472809577443376e+56,6.999999999999995,6.170108789674933e-09,6.634525580295627e-09,1.075268817204301
30,1.3038202816880685e+57,1.2125528619699037e+57,7.000000000000002,2.0567029298916445e-09,2.211508526765209e-09,1.075268817204301
100,1.448689201875632e+58,1.3472809577443378e+58,6.999999999999992,6.170108789674933e-10,6.634525580295627e-10,1.075268817204301
1000,1.4486892018756313e+60,1.3472809577443372e+60,6.99999999999999,6.170108789674934e-11,6.634525580295627e-11,1.075268817204301
